week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2019-06-15","2019-06-08","04000US08","Colorado",1517,17158,2605045,0.66,1560571200000,"June 15th, 2019","04000US08","Colorado"
"2019-06-15","2019-06-08","04000US12","Florida",7509,35131,8511100,0.41,1560571200000,"June 15th, 2019","04000US12","Florida"
"2019-06-15","2019-06-08","04000US13","Georgia",4332,24648,4314458,0.57,1560571200000,"June 15th, 2019","04000US13","Georgia"
"2019-06-15","2019-06-08","04000US20","Kansas",1436,7857,1354497,0.58,1560571200000,"June 15th, 2019","04000US20","Kansas"
"2019-06-15","2019-06-08","04000US26","Michigan",4719,39142,4277987,0.91,1560571200000,"June 15th, 2019","04000US26","Michigan"
"2019-06-08","2019-06-01","04000US08","Colorado",1978,18061,2605045,0.69,1559966400000,"June 8th, 2019","04000US08","Colorado"
"2019-06-08","2019-06-01","04000US12","Florida",8581,34500,8511100,0.41,1559966400000,"June 8th, 2019","04000US12","Florida"
"2019-06-08","2019-06-01","04000US13","Georgia",5366,24860,4314458,0.58,1559966400000,"June 8th, 2019","04000US13","Georgia"
"2019-06-08","2019-06-01","04000US20","Kansas",1512,8110,1354497,0.6,1559966400000,"June 8th, 2019","04000US20","Kansas"
"2019-06-08","2019-06-01","04000US26","Michigan",5010,43510,4277987,1.02,1559966400000,"June 8th, 2019","04000US26","Michigan"
"2019-06-01","2019-05-25","04000US08","Colorado",1613,17684,2605045,0.68,1559361600000,"June 1st, 2019","04000US08","Colorado"
"2019-06-01","2019-05-25","04000US12","Florida",5971,34600,8511100,0.41,1559361600000,"June 1st, 2019","04000US12","Florida"
"2019-06-01","2019-05-25","04000US13","Georgia",4474,24268,4314458,0.56,1559361600000,"June 1st, 2019","04000US13","Georgia"
"2019-06-01","2019-05-25","04000US20","Kansas",1533,8257,1354497,0.61,1559361600000,"June 1st, 2019","04000US20","Kansas"
"2019-06-01","2019-05-25","04000US26","Michigan",4112,43562,4277987,1.02,1559361600000,"June 1st, 2019","04000US26","Michigan"
"2019-05-25","2019-05-18","04000US08","Colorado",1880,18166,2605045,0.7,1558756800000,"May 25th, 2019","04000US08","Colorado"
"2019-05-25","2019-05-18","04000US12","Florida",6104,33987,8511100,0.4,1558756800000,"May 25th, 2019","04000US12","Florida"
"2019-05-25","2019-05-18","04000US13","Georgia",4191,24042,4314458,0.56,1558756800000,"May 25th, 2019","04000US13","Georgia"
"2019-05-25","2019-05-18","04000US20","Kansas",2024,7711,1354497,0.57,1558756800000,"May 25th, 2019","04000US20","Kansas"
"2019-05-25","2019-05-18","04000US26","Michigan",8403,40695,4277987,0.95,1558756800000,"May 25th, 2019","04000US26","Michigan"
"2019-05-18","2019-05-11","04000US08","Colorado",1617,18533,2605045,0.71,1558152000000,"May 18th, 2019","04000US08","Colorado"
